"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
3538.13,562.89,20.832,0.875,0.546,1.421,"NGC7339","Spiral",10.7,7.57041,1
3947.53,667.35,20.927,0.865,0.554,1.419,"NGC7339","Spiral",10.7,8.20953,1
2587.14,677.51,22.725,0.729,0.477,1.206,"NGC7339","Spiral",10.7,5.77522,1
36.41,820.67,21.225,0.561,0.393,0.954,"NGC7339","Spiral",10.7,4.69061,1
2013.31,907.43,23.343,0.772,0.599,1.371,"NGC7339","Spiral",10.7,4.55089,1
1794.82,919.35,23.19,0.733,0.443,1.176,"NGC7339","Spiral",10.7,4.28264,1
3320.26,985.7,20.828,0.744,0.447,1.191,"NGC7339","Spiral",10.7,6.57077,1
551.91,1021.36,22.027,0.735,0.38,1.115,"NGC7339","Spiral",10.7,3.78242,1
145.03,1099.93,24.029,0.731,0.546,1.277,"NGC7339","Spiral",10.7,3.99593,0
3417.89,1107.57,22.593,0.77,0.469,1.239,"NGC7339","Spiral",10.7,6.6088,1
2353.23,1125.03,21.974,0.693,0.501,1.194,"NGC7339","Spiral",10.7,4.62557,1
2382.45,1215.66,22.621,0.584,0.446,1.03,"NGC7339","Spiral",10.7,4.52122,1
3901.88,1470.48,23.936,0.547,0.327,0.874,"NGC7339","Spiral",10.7,7.26012,0
18.57,1622.07,22.746,0.804,0.522,1.326,"NGC7339","Spiral",10.7,3.21404,1
1280.6,1680.52,20.816,0.735,0.465,1.2,"NGC7339","Spiral",10.7,2.17741,1
1546.68,1697.57,22.053,0.727,0.531,1.258,"NGC7339","Spiral",10.7,2.40035,1
1144.18,1820.19,24.388,0.597,0.327,0.924,"NGC7339","Spiral",10.7,1.78328,0
89.57,1848.65,21.459,0.561,0.44,1.001,"NGC7339","Spiral",10.7,2.73999,1
908.96,1980.18,23,0.657,0.345,1.002,"NGC7339","Spiral",10.7,1.39987,1
304.85,2186.05,24.103,0.632,0.315,0.947,"NGC7339","Spiral",10.7,1.88061,0
2084.43,2229.86,23.517,0.684,0.57,1.254,"NGC7339","Spiral",10.7,2.64606,1
539.37,2358.25,21.432,0.797,0.48,1.277,"NGC7339","Spiral",10.7,1.20773,1
731.35,2366.37,23.441,0.591,0.481,1.072,"NGC7339","Spiral",10.7,0.806301,1
1223.54,2367.33,23.906,0.761,0.456,1.217,"NGC7339","Spiral",10.7,0.690758,0
204.44,2418.82,22.406,0.844,0.55,1.394,"NGC7339","Spiral",10.7,1.92057,1
1224.79,2419.38,23.123,0.7,0.552,1.252,"NGC7339","Spiral",10.7,0.6162,1
898.09,2422.65,23.594,0.971,0.512,1.483,"NGC7339","Spiral",10.7,0.430623,1
982.2,2452.75,24.238,0.699,0.421,1.12,"NGC7339","Spiral",10.7,0.279759,0
1209.03,2475.77,24.332,0.697,0.481,1.178,"NGC7339","Spiral",10.7,0.518064,0
1076.49,2487.74,23.438,0.696,0.492,1.188,"NGC7339","Spiral",10.7,0.247995,1
249.89,2500.98,23.487,0.696,0.518,1.214,"NGC7339","Spiral",10.7,1.78841,1
3931.06,2517.49,21.955,0.793,0.457,1.25,"NGC7339","Spiral",10.7,6.85889,1
2388.55,2650.06,23.594,0.629,0.544,1.173,"NGC7339","Spiral",10.7,3.24349,1
596.96,2708.7,24.009,0.605,0.446,1.051,"NGC7339","Spiral",10.7,1.02042,0
1143.56,2712.31,23.69,0.973,0.593,1.566,"NGC7339","Spiral",10.7,0.461092,0
1104.24,2755.77,23.895,0.637,0.45,1.087,"NGC7339","Spiral",10.7,0.491428,0
1520.38,2763.73,23.539,0.806,0.495,1.301,"NGC7339","Spiral",10.7,1.2843,1
2178.47,2834.99,24.341,0.648,0.301,0.949,"NGC7339","Spiral",10.7,2.81491,0
2288.03,2938.76,23.951,1.007,0.497,1.504,"NGC7339","Spiral",10.7,3.12476,0
