bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
"3,049.09","3,121.52",22.283,0.669,0.421,1.09,NGC 7332,S0,11.1,0.695468
"3,570.12","3,128.72",22.804,0.682,0.468,1.15,NGC 7332,S0,11.1,1.00955
"3,779.41","3,193.25",22.895,0.962,0.638,1.6,NGC 7332,S0,11.1,1.50612
"3,097.27","3,196.32",22.452,0.592,0.473,1.065,NGC 7332,S0,11.1,0.797464
374.21,"3,251.74",20.867,0.58,0.353,0.933,NGC 7332,S0,11.1,6.73467
"2,779.89","3,264.65",21.733,0.98,0.614,1.594,NGC 7332,S0,11.1,1.37199
"2,984.43","3,281.84",20.477,0.969,0.593,1.562,NGC 7332,S0,11.1,1.09382
590.25,"3,285.31",23.065,0.619,0.352,0.971,NGC 7332,S0,11.1,6.24378
387.25,"3,344.34",21.252,0.6,0.369,0.969,NGC 7332,S0,11.1,6.73596
"3,214.26","3,438.33",20.253,0.904,0.527,1.431,NGC 7332,S0,11.1,1.31109
"3,533.73","3,440.41",22.986,0.806,0.579,1.385,NGC 7332,S0,11.1,1.50838
"3,625.86","3,453.28",23.089,0.904,0.509,1.413,NGC 7332,S0,11.1,1.64957
"3,648.72","3,453.9",22.594,0.806,0.474,1.28,NGC 7332,S0,11.1,1.68232
"3,397.46","3,505.48",22.697,0.62,0.479,1.099,NGC 7332,S0,11.1,1.5266
349.78,"3,539.59",22.875,0.797,0.393,1.19,NGC 7332,S0,11.1,6.91049
742.45,"3,885.37",21.661,0.611,0.364,0.975,NGC 7332,S0,11.1,6.27322
571.67,"3,896.97",21.439,0.58,0.352,0.932,NGC 7332,S0,11.1,6.656
"1,724.54","4,075.44",21.89,0.717,0.546,1.263,NGC 7332,S0,11.1,4.49089
"2,621.58","2,799.57",22.756,0.853,0.539,1.392,NGC 7332,S0,11.1,1.4162
"3,129.23","2,308.62",23.17,0.889,0.486,1.375,NGC 7332,S0,11.1,1.35307
357.98,116.6,22.762,0.71,0.42,1.13,NGC 7331,Spiral,11.4,5.07921
774.82,164.91,21.834,0.724,0.538,1.262,NGC 7331,Spiral,11.4,3.75498
"1,475.77",291.73,22.014,0.946,0.774,1.72,NGC 7331,Spiral,11.4,1.61588
"1,471.8",449.48,21.204,0.965,0.639,1.604,NGC 7331,Spiral,11.4,1.2931
616.88,504.21,22.9,0.761,0.563,1.324,NGC 7331,Spiral,11.4,3.94146
639.23,538.64,22.097,0.968,0.514,1.482,NGC 7331,Spiral,11.4,3.85571
"1,260.63",607.03,21.842,0.679,0.426,1.105,NGC 7331,Spiral,11.4,1.80305
"1,377.26",631.23,22.191,0.806,0.574,1.38,NGC 7331,Spiral,11.4,1.41529
635.09,652.98,22.274,0.688,0.447,1.135,NGC 7331,Spiral,11.4,3.8499
"1,299.93",704.39,20.009,1.043,0.658,1.701,NGC 7331,Spiral,11.4,1.67467
"1,390.6",704.02,21.914,0.809,0.434,1.243,NGC 7331,Spiral,11.4,1.37854
"1,150.96",730.09,21.423,0.738,0.432,1.17,NGC 7331,Spiral,11.4,2.16987
702.45,"1,010.26",21.903,0.842,0.501,1.343,NGC 7331,Spiral,11.4,3.81017
32.65,"1,024.05",22.513,0.636,0.374,1.01,NGC 7331,Spiral,11.4,5.95102
"1,145.78","1,167.13",22.908,0.82,0.608,1.428,NGC 7331,Spiral,11.4,2.74592
744.17,"1,209.64",22.591,0.761,0.513,1.274,NGC 7331,Spiral,11.4,3.93592
"1,386.09","1,319.44",22.51,1.067,0.796,1.863,NGC 7331,Spiral,11.4,2.5819
438.9,"1,328.47",20.709,0.972,0.634,1.606,NGC 7331,Spiral,11.4,5.00589
616.82,"1,343.26",22.792,0.783,0.452,1.235,NGC 7331,Spiral,11.4,4.51326
"1,018.54","1,410.96",22.736,0.627,0.469,1.096,NGC 7331,Spiral,11.4,3.58538
"1,021.44","1,429.94",22.906,0.706,0.492,1.198,NGC 7331,Spiral,11.4,3.62194
"1,255.57","1,465.32",21.127,0.76,0.446,1.206,NGC 7331,Spiral,11.4,3.21708
"1,413.54","1,497.67",22.753,0.864,0.526,1.39,NGC 7331,Spiral,11.4,3.05251
"1,199.76","1,559.59",22.046,0.911,0.531,1.442,NGC 7331,Spiral,11.4,3.57582
"1,349.23",1794,20.537,0.824,0.51,1.334,NGC 7331,Spiral,11.4,4.02874
771.58,"1,886.72",21.607,0.908,0.504,1.412,NGC 7331,Spiral,11.4,5.28054
"5,838.41","1,487.42",21.962,0.716,0.5,1.216,NGC 5866,S0,11.2,10.6631
"7,499.45","1,748.27",20.438,0.557,0.364,0.921,NGC 5866,S0,11.2,10.1989
"6,148.68","2,046.3",21.589,0.675,0.38,1.055,NGC 5866,S0,11.2,8.00309
"6,615.65","2,071.36",20.755,0.621,0.415,1.036,NGC 5866,S0,11.2,7.80057
"5,644.91","2,131.26",20.351,0.573,0.371,0.944,NGC 5866,S0,11.2,8.31356
"6,099.46","2,131.28",21.448,0.715,0.482,1.197,NGC 5866,S0,11.2,7.68124
"6,785.42","2,146.84",20.491,0.645,0.426,1.071,NGC 5866,S0,11.2,7.57254
"4,694.77","2,167.82",20.052,0.593,0.363,0.956,NGC 5866,S0,11.2,10.6213
"6,387.71","2,185.01",21.568,0.62,0.451,1.071,NGC 5866,S0,11.2,7.28962
"6,205.57","2,212.96",21.314,0.656,0.434,1.09,NGC 5866,S0,11.2,7.24909
"7,069.58","2,348.7",20.929,0.544,0.376,0.92,NGC 5866,S0,11.2,7.06875
"6,030.21","2,469.16",21.183,0.613,0.389,1.002,NGC 5866,S0,11.2,6.33582
"5,954.85","2,548.31",20.074,0.704,0.431,1.135,NGC 5866,S0,11.2,6.11841
"7,811.2","2,589.75",22.094,0.536,0.449,0.985,NGC 5866,S0,11.2,8.02086
"4,599.47","2,614.2",21.673,0.687,0.407,1.094,NGC 5866,S0,11.2,9.7176
"6,908.41","2,627.03",21.408,0.85,0.52,1.37,NGC 5866,S0,11.2,5.69494
"7,438.31","2,757.14",22.08,0.6,0.365,0.965,NGC 5866,S0,11.2,6.38126
"7,244.85","2,841.05",22.035,0.812,0.483,1.295,NGC 5866,S0,11.2,5.57101
"6,787.51","2,846.61",21.668,0.844,0.505,1.349,NGC 5866,S0,11.2,4.62665
"6,654.12","2,991.53",22.022,0.596,0.367,0.963,NGC 5866,S0,11.2,3.87086
"6,182.78","3,067.57",20.906,0.919,0.583,1.502,NGC 5866,S0,11.2,3.66078
"6,457.91","3,091.35",21.511,1.008,0.648,1.656,NGC 5866,S0,11.2,3.35006
"5,642.23","3,136.69",20.722,0.604,0.387,0.991,NGC 5866,S0,11.2,4.74849
"6,216.62","3,173.55",21.991,0.724,0.425,1.149,NGC 5866,S0,11.2,3.178
"4,878.21","3,216.75",21.772,0.7,0.487,1.187,NGC 5866,S0,11.2,7.40322
"5,686.73","3,243.05",21.857,0.742,0.463,1.205,NGC 5866,S0,11.2,4.30238
"6,019.61","3,517.95",22.067,0.884,0.533,1.417,NGC 5866,S0,11.2,2.43051
"6,889.23","3,581.78",20.774,0.794,0.497,1.291,NGC 5866,S0,11.2,2.21455
"5,653.59","3,824.81",21.851,0.573,0.402,0.975,NGC 5866,S0,11.2,3.49344
"4,427.22","3,923.43",20.454,0.655,0.454,1.109,NGC 5866,S0,11.2,8.79153
"3,959.47","4,136.1",21.811,0.826,0.579,1.405,NGC 5866,S0,11.2,10.87
"4,193.43","4,160.05",20.712,0.773,0.544,1.317,NGC 5866,S0,11.2,9.87805
"6,510.4","4,422.29",20.539,0.591,0.387,0.978,NGC 5866,S0,11.2,2.43368
"7,806.54","4,458.62",21.917,0.833,0.522,1.355,NGC 5866,S0,11.2,6.37203
"5,707.54","4,816.42",21.81,0.568,0.35,0.918,NGC 5866,S0,11.2,5.25108
"8,267.15","4,908.33",20.639,0.707,0.442,1.149,NGC 5866,S0,11.2,9.04188
"6,803.94","5,034.5",21.798,0.69,0.513,1.203,NGC 5866,S0,11.2,5.29672
"4,311.01","5,174.49",20.366,0.603,0.402,1.005,NGC 5866,S0,11.2,10.8737
"8,267.52","5,237.32",21.433,0.736,0.46,1.196,NGC 5866,S0,11.2,9.84075
"7,960.08","5,310.5",20.848,0.729,0.43,1.159,NGC 5866,S0,11.2,9.03854
"7,190.42","5,343.31",20.69,0.818,0.538,1.356,NGC 5866,S0,11.2,7.16247
"7,017.06","5,430.19",20.564,0.613,0.373,0.986,NGC 5866,S0,11.2,7.21712
"8,133.56","5,442.4",20.31,0.556,0.375,0.931,NGC 5866,S0,11.2,9.97758
"7,217.44","5,479.5",21.148,0.721,0.454,1.175,NGC 5866,S0,11.2,7.7463
"7,671.29","5,625.77",22.081,0.702,0.513,1.215,NGC 5866,S0,11.2,9.27964
"5,016.6","5,633.98",20.547,0.965,0.591,1.556,NGC 5866,S0,11.2,9.87682
4999,"5,848.15",21.805,0.751,0.475,1.226,NGC 5866,S0,11.2,10.6578
"7,622.69","6,020.76",22.079,1.013,0.655,1.668,NGC 5866,S0,11.2,10.6369
"6,287.61","6,073.47",20.759,0.599,0.435,1.034,NGC 5866,S0,11.2,9.61216
"7,207.41","6,155.81",22.019,0.502,0.457,0.959,NGC 5866,S0,11.2,10.4657
"6,489.23","6,370.52",21.881,0.91,0.532,1.442,NGC 5866,S0,11.2,10.8757
"2,658.31","1,229.27",22.699,0.625,0.509,1.134,NGC 5813,E,11.8,13.1574
"4,007.18","1,245.8",21.85,0.959,0.665,1.624,NGC 5813,E,11.8,13.3358
"3,772.8","1,289.42",23.211,0.611,0.444,1.055,NGC 5813,E,11.8,12.9222
"3,946.55","1,332.08",22.59,0.685,0.426,1.111,NGC 5813,E,11.8,12.9073
"3,773.75","1,334.78",23.512,0.836,0.632,1.468,NGC 5813,E,11.8,12.73
"1,996.94","1,356.02",23.502,0.786,0.612,1.398,NGC 5813,E,11.8,13.4454
"2,632.24","1,370.05",23.263,0.658,0.419,1.077,NGC 5813,E,11.8,12.5779
