#name/id         bx       by    am_b    b_i   err   vx       vy     am_v    v_i   err    rx      ry      am_r    r_i   err      V    B-V   V-R
#----------------------------------------------------------------------------------------------------------------------------------------------
152           3265.12  200.55 1.399  -2.219 0.052 3265.13  200.22 1.202  -2.724 0.065 3264.80  200.47 1.293  -3.438 0.058  23.412  0.447  0.429
153           5427.78  202.28 1.399  -1.889 0.072 5428.63  201.27 1.202  -3.058 0.049 5428.47  201.65 1.293  -4.611 0.021  23.077  1.205  1.174
154           3193.25  204.43 1.399  -2.787 0.030 3193.46  204.25 1.202  -3.161 0.044 3193.45  204.47 1.293  -3.722 0.046  22.975  0.297  0.293
155           5845.35  206.56 1.399  -2.865 0.028 5845.76  206.26 1.202  -4.346 0.015 5845.49  206.35 1.293  -6.014 0.006  21.788  1.561  1.276
156            699.03  206.38 1.399  -1.361 0.113  699.22  206.78 1.202  -2.616 0.072  698.83  206.55 1.293  -4.063 0.034  23.519  1.303  1.079
157           5396.38  208.22 1.399  -5.048 0.005 5396.64  207.71 1.202  -5.764 0.004 5396.43  207.96 1.293  -6.495 0.004  20.372  0.688  0.444
158           2820.28  209.47 1.399  -2.106 0.056 2821.05  209.96 1.202  -2.508 0.079 2820.28  209.35 1.293  -3.333 0.068  23.628  0.329  0.527
159           2388.69  210.21 1.399  -3.042 0.025 2388.68  210.09 1.202  -3.689 0.027 2388.57  210.29 1.293  -4.437 0.025  22.447  0.609  0.459
160           5306.06  210.51 1.399  -1.753 0.075 5306.74  209.74 1.202  -2.673 0.061 5306.34  210.26 1.293  -3.775 0.040  23.462  0.921  0.773
161             78.97  212.23 1.399  -1.839 0.073   78.78  212.63 1.202  -2.146 0.113   78.92  212.64 1.293  -2.989 0.088  23.991  0.220  0.543
162           5700.80  214.41 1.399  -2.668 0.034 5701.26  213.72 1.202  -3.182 0.039 5701.10  213.89 1.293  -3.853 0.039  22.954  0.457  0.390
163           5791.83  214.15 1.399  -1.552 0.093 5792.41  213.47 1.202  -2.496 0.079 5791.54  214.24 1.293  -3.688 0.051  23.639  0.948  0.853
164           6946.26  215.76 1.399  -6.036 0.002 6946.54  215.35 1.202  -6.825 0.002 6946.26  215.61 1.293  -7.647 0.002  19.311  0.771  0.525
165           6898.44  217.21 1.399   -2.87 0.028 6898.90  216.72 1.202  -3.867 0.022 6898.50  216.88 1.293  -4.803 0.017  22.268  1.009  0.626
166           4241.96  217.70 1.399  -1.615 0.087 4242.73  216.18 1.202  -2.304 0.095 4242.30  217.75 1.293   -2.89 0.096  23.832  0.657  0.315
167           2829.39  221.79 1.399  -2.534 0.038 2829.76  221.96 1.202  -3.241 0.040 2829.58  221.91 1.293  -3.998 0.036  22.895  0.677  0.467
168           2392.73  222.59 1.399  -2.224 0.050 2393.15  222.70 1.202  -3.761 0.025 2392.75  222.68 1.293   -5.31 0.011  22.373  1.625  1.170
